"STATISTIC","Statistic Label","TLIST(W1)","Week","C02875V03459","Vehicle Type","UNIT","VALUE"
"TII02C01","Average Traffic Volume","2023M10D23","2023 October 23","-2","All buses","Number","146"
"TII02C01","Average Traffic Volume","2023M10D23","2023 October 23","80","Other vehicles","Number","164"
"TII02C01","Average Traffic Volume","2023M10D30","2023 October 30","-1","All cars","Number","15872"
"TII02C01","Average Traffic Volume","2023M10D30","2023 October 30","22","Heavy goods vehicle","Number","1154"
"TII02C01","Average Traffic Volume","2023M10D30","2023 October 30","21","Light goods vehicle","Number","2335"
"TII02C01","Average Traffic Volume","2023M10D30","2023 October 30","-2","All buses","Number","127"
"TII02C01","Average Traffic Volume","2023M10D30","2023 October 30","80","Other vehicles","Number","157"
"TII02C01","Average Traffic Volume","2023M11D06","2023 November 06","-1","All cars","Number","16073"
"TII02C01","Average Traffic Volume","2023M11D06","2023 November 06","22","Heavy goods vehicle","Number","1310"
"TII02C01","Average Traffic Volume","2023M11D06","2023 November 06","21","Light goods vehicle","Number","2556"
"TII02C01","Average Traffic Volume","2023M11D06","2023 November 06","-2","All buses","Number","139"
"TII02C01","Average Traffic Volume","2023M11D06","2023 November 06","80","Other vehicles","Number","161"
"TII02C01","Average Traffic Volume","2023M11D13","2023 November 13","-1","All cars","Number","15903"
"TII02C01","Average Traffic Volume","2023M11D13","2023 November 13","22","Heavy goods vehicle","Number","1302"
"TII02C01","Average Traffic Volume","2023M11D13","2023 November 13","21","Light goods vehicle","Number","2535"
"TII02C01","Average Traffic Volume","2023M11D13","2023 November 13","-2","All buses","Number","136"
"TII02C01","Average Traffic Volume","2023M11D13","2023 November 13","80","Other vehicles","Number","155"
"TII02C01","Average Traffic Volume","2023M11D20","2023 November 20","-1","All cars","Number","16136"
"TII02C01","Average Traffic Volume","2023M11D20","2023 November 20","22","Heavy goods vehicle","Number","1312"
"TII02C01","Average Traffic Volume","2023M11D20","2023 November 20","21","Light goods vehicle","Number","2565"
"TII02C01","Average Traffic Volume","2023M11D20","2023 November 20","-2","All buses","Number","135"
"TII02C01","Average Traffic Volume","2023M11D20","2023 November 20","80","Other vehicles","Number","159"
"TII02C01","Average Traffic Volume","2023M11D27","2023 November 27","-1","All cars","Number","16213"
"TII02C01","Average Traffic Volume","2023M11D27","2023 November 27","22","Heavy goods vehicle","Number","1340"
"TII02C01","Average Traffic Volume","2023M11D27","2023 November 27","21","Light goods vehicle","Number","2601"
"TII02C01","Average Traffic Volume","2023M11D27","2023 November 27","-2","All buses","Number","137"
"TII02C01","Average Traffic Volume","2023M11D27","2023 November 27","80","Other vehicles","Number","155"
"TII02C01","Average Traffic Volume","2023M12D04","2023 December 04","-1","All cars","Number","16174"
"TII02C01","Average Traffic Volume","2023M12D04","2023 December 04","22","Heavy goods vehicle","Number","1345"
"TII02C01","Average Traffic Volume","2023M12D04","2023 December 04","21","Light goods vehicle","Number","2595"
"TII02C01","Average Traffic Volume","2023M12D04","2023 December 04","-2","All buses","Number","137"
"TII02C01","Average Traffic Volume","2023M12D04","2023 December 04","80","Other vehicles","Number","148"
"TII02C01","Average Traffic Volume","2023M12D11","2023 December 11","-1","All cars","Number","16557"
"TII02C01","Average Traffic Volume","2023M12D11","2023 December 11","22","Heavy goods vehicle","Number","1356"
"TII02C01","Average Traffic Volume","2023M12D11","2023 December 11","21","Light goods vehicle","Number","2644"
"TII02C01","Average Traffic Volume","2023M12D11","2023 December 11","-2","All buses","Number","137"
"TII02C01","Average Traffic Volume","2023M12D11","2023 December 11","80","Other vehicles","Number","154"
"TII02C01","Average Traffic Volume","2023M12D18","2023 December 18","-1","All cars","Number","15852"
"TII02C01","Average Traffic Volume","2023M12D18","2023 December 18","22","Heavy goods vehicle","Number","1192"
"TII02C01","Average Traffic Volume","2023M12D18","2023 December 18","21","Light goods vehicle","Number","2412"
"TII02C01","Average Traffic Volume","2023M12D18","2023 December 18","-2","All buses","Number","124"
"TII02C01","Average Traffic Volume","2023M12D18","2023 December 18","80","Other vehicles","Number","129"
"TII02C01","Average Traffic Volume","2023M12D25","2023 December 25","-1","All cars","Number","12117"
"TII02C01","Average Traffic Volume","2023M12D25","2023 December 25","22","Heavy goods vehicle","Number","435"
"TII02C01","Average Traffic Volume","2023M12D25","2023 December 25","21","Light goods vehicle","Number","1200"
"TII02C01","Average Traffic Volume","2023M12D25","2023 December 25","-2","All buses","Number","77"
"TII02C01","Average Traffic Volume","2023M12D25","2023 December 25","80","Other vehicles","Number","65"
